Star,Main ID,TIC,Sectors,Pmix,ATL numax (muHz),TIC numax (muHz),RA,DEC,SpT,V,H,K,Diam,Err,Reference,Instrument,Fast,Comments
HD 31579,8 Cam,453086511,19,,,3.234826175795293,04 59 46.3283,+53 09 19.625,K3III,6.083000183105469,2.7980000972747803,2.5169999599456787,1.5930000000000002,0.008,"E. Baines et al., Astronomical Journal, 152, 66 (2016).",CLASSIC,False,Nothing of note.
HD 32518,HD 32518,310836777,19,,,35.5044618296947,05 09 36.7200,+69 38 21.855,K1III,6.420000076293945,3.992000102996826,3.91100001335144,0.851,0.022,"E.K. Baines, et al., The Astrophysical Journal, 710, 1365 (2010).",CLASSIC,False,Nothing of note.
HD 33564,HD 33564,142103211,"19, 20, 25, 26",0.996999979019165,1520.326,1632.8063739847446,05 22 33.5290,+79 13 52.142,F7V,,4.201000213623047,3.91100001335144,0.64,0.01,"K. von Braun, et al., Monthly Notices of the Royal Astronomical Society, 438, 2413 (2014).",CLASSIC,False,ATL estimate seems off.
HD 34411,lam Aur,409104974,19,0.9990000128746032,1826.711,2243.7335993446327,05 19 08.481, +40 05 56.59,G0V,4.684,3.154,3.0380000000000003,0.981,0.015,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC,False,ATL estimate seems off.
HD 35468,gam Ori,365572007,"6, 32",,,,05 25 07.863, +06 20 58.95,B2III,1.643,2.357,2.375,0.715,0.005,"Challouf et al. 2014, A&A, 570, A104",VEGA,False,Somewhat irregular light curve but otherwise nothing of note.
HD 36395,HD 36395,50726077,"6, 32",,,,05 31 27.396,-03 40 38.02,M1.5V,7.968,4.05,3.9,0.943,0.004,"Boyajian et al. 2012, ApJ, 757, 112",CLASSIC,False,Nothing of note.
HD 38529,HD 38529,200093173,6,1.0,419.767,472.5502162470616,05 46 34.9129,+01 10 05.512,G8III/IV,,4.380000114440918,4.2100000381469735,0.573,0.049,"Baines et al. 2008, ApJ, 680, 728",CLASSIC,False,ATL estimate seems off.
HD 38678,zet Lep,317132886,"6, 32",,,,05 46 57.3409,-14 49 19.019,A2IV-V(n),3.525000095367432,3.313999891281128,3.2860000133514404,0.67,0.14,"Akeson et al. 2009, ApJ, 691, 1896",FLUOR,False,Incredibly strange light curve. Should ask Tim.
HD 38858,HD 38858,176521059,6,,,4400.820459214963,05 48 34.950,-04 05 40.42,G4V,6.193,4.595,4.405,0.5720000000000001,0.009000000000000001,"Boyajian et al. 2013, ApJ, 771, 40",CLASSIC,False,Nothing of note.
HD 45410,6 Lyn,444865362,20,,,151.39940682506494,06 30 47.1070,+58 09 45.480,K0.5IIIbFe0.5,5.855000019073486,3.8250000476837163,3.700999975204468,0.97,0.035,"Baines, et al., The Astrophysical Journal, 701, 154 (2009)",CLASSIC,False,Potential oscillations around 100-250 uHz.
HD 45410,6 Lyn,444865362,20,,,151.39940682506494,06 30 47.1070,+58 09 45.480,K0.5IIIbFe0.5,5.855000019073486,3.8250000476837163,3.700999975204468,0.853,0.013,White et al. 2018,PAVO,False,Potential oscillations around 100-250 uHz.
HD 48737,ksi Gem,372480991,6,1.0,568.65,,06 45 17.373, +12 53 43.90,F5IV,3.3360000000000003,1.811,1.6880000000000002,1.401,0.009000000000000001,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC,False,ATL estimate seems off.
HD 49933,HD 49933,281812116,6,,,1702.6098212816737,06 50 49.831,-00 32 27.18,F3V,,,,0.445,0.012,"L. Bigot, et al., Astronomy and Astrophysics, 534, L3 (2011).",VEGA,False,Was in SSP project survey. Nothing of note.
HD 50890,HD 50890,282893379,6,,,5.348968053301636,06 54 58.9169,-02 48 12.925,K2III,6.017000198364258,3.7170000076293945,3.651999950408936,1.006,0.02,"E.K. Baines, et al., The Astrophysical Journal, 772, 16 (2013).",CLASSIC,False,Nothing of note.
HD 58946,rho Gem,239137207,20,0.8019999861717224,1715.037,1248.8315896007991,07 29 06.712, +31 47 04.36,F0V,4.169,3.156,2.978,0.853,0.014,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC,False,ATL estimate seems off.
HD 69830,HD 69830,307624961,7,,,4811.207907461385,08 18 23.9469,-12 37 55.810,G8:V,5.949999809265138,4.360000133514403,4.1649999618530265,0.674,0.014,"A. Tanner, et al., The Astrophysical Journal, 800, 115 (2015).",CLASSIC,False,Nothing of note.
HD 73108,pi.02 UMa,356478817,20,,,14.666713595073702,08 40 12.8204,+64 19 40.573,K1+III,4.610000133514403,1.940000057220459,1.8799999952316284,2.225,0.02,"E.K. Baines, et al., The Astrophysical Journal, 710, 1365 (2010).",CLASSIC,False,Nothing of note.
HD 75732,rho01 Cnc,332064670,21,,,4203.368948707352,08 52 35.794, +28 19 50.96,G8V,5.942,4.265,4.015,0.7240000000000001,0.012,"Ligi et al. 2016, A&A, 586, A94",VEGA,False,Many peaks probably are from exoplanet transits. Should check with Tim in case there are some oscillations.
HD 75732,rho01 Cnc,332064670,21,,,4203.368948707352,08 52 35.794, +28 19 50.96,G8V,,4.139999866485597,4.014999866485597,0.8540000000000001,0.024,"Baines et al. 2008, ApJ, 680, 728",CLASSIC,False,Many peaks probably are from exoplanet transits. Should check with Tim in case there are some oscillations.
HD 75732,rho01 Cnc,332064670,21,,,4203.368948707352,08 52 35.794, +28 19 50.96,G8V,,4.139999866485597,4.014999866485597,0.711,0.004,"K. von Braun, et al., The Astrophysical Journal, 740, 49 (2011).",CLASSIC,False,Many peaks probably are from exoplanet transits. Should check with Tim in case there are some oscillations.
HD 79210,HD 79210,251078595,21,,,,09 14 22.982, +52 41 12.53,M0V,7.631,3.987,3.988,0.871,0.015,"Boyajian et al. 2012, ApJ, 757, 112",CLASSIC,False,Nothing of note.
HD 79211,HD 79211,251078597,21,,,,09 14 24.856, +52 41 11.84,M0V,7.701,4.043,4.136,0.856,0.016,"Boyajian et al. 2012, ApJ, 757, 112",CLASSIC,False,Very strange descending light curve.
HD 81937,h UMa,86336880,"20, 21",0.5260000228881836,580.841,425.84864719945494,09 31 31.704, +63 03 42.75,F0IV,3.644,3.025,2.864,1.133,0.009000000000000001,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC,False,ATL estimate seems off.
HD 82885,11 LMi,8915802,21,,,3942.6989971912035,09 35 39.592, +35 48 36.65,G8IV-V,5.388,3.718,3.69,0.821,0.013,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC,False,Was in SSP project survey. Highly irregular light curve.
HD 86728,20 LMi,172954294,21,0.8019999861717224,2034.709,2668.231486270124,10 01 00.726, +31 55 26.22,G1V,5.376,4.04,3.821,0.7709999999999999,0.012,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC,False,ATL estimate seems off.
HD 89744,HD 89744,8154501,21,1.0,750.3760000000003,786.460129767338,10 22 10.5623,+41 13 46.308,F7V,,4.53000020980835,4.453999996185303,0.556,0.032,"G. Schaefer, et al., Astrophysical Journal, 858, 71 (2018).",CLASSIC,False,ATL estimate seems off.
