Star,RA,DEC,SpT,V,H,K,Diam,Err,Reference,Instrument
HD 219080,23 12 32.992, +49 24 22.27,F0V,4.53,3.76,3.791,0.648,0.008,"Maestro et al. 2013, MNRAS, 434, 1321",PAVO
GJ 892,23 13 16.921, +57 10 05.99,K3Vvar,5.561,3.469,3.261,1.106,0.007,"Boyajian et al. 2012, ApJ, 757, 112",CLASSIC
HD 219623,23 16 42.289, +53 12 48.92,F7V,5.577,4.599,4.306,0.542,0.016,"Boyajian et al. 2013, ApJ, 771, 40",CLASSIC
HD 221345,23 31 17.426, +39 14 10.20,K0III,5.225,2.608,2.331,1.489,0.032,"Ligi et al. 2016, A&A, 586, A94",VEGA
HD 222603,23 42 02.818, +01 46 48.12,A7V,4.491,4.204,4.064,0.581,0.012,"Boyajian et al. 2013, ApJ, 771, 40",CLASSIC
HD 222368,23 39 57.066, +05 37 34.31,F7V,4.126,2.988,2.946,1.082,0.009,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC
HD 45410,,,,,,,0.853,0.013,White et al. 2018,PAVO
HD 90043,,,,,,,0.659,0.009,White et al. 2018,PAVO
HD 142091,,,,,,,1.456,0.02,White et al. 2018,PAVO
HD 167042,,,,,,,0.823,0.011,White et al. 2018,PAVO
HD 210702,,,,,,,0.831,0.011,White et al. 2018,PAVO
GJ 15A,,,,,,,0.988,0.016,Berger et al. 2006,CLASSIC
GJ 514,,,,,,,0.753,0.052,Berger et al. 2006,CLASSIC
GJ 526,,,,,,,0.845,0.057,Berger et al. 2006,CLASSIC
GJ 687,,,,,,,1.009,0.077,Berger et al. 2006,CLASSIC
GJ 752A,,,,,,,0.836,0.051,Berger et al. 2006,CLASSIC
GJ 880,,,,,,,0.934,0.059,Berger et al. 2006,CLASSIC
HD 125162,,,,,,,0.533,0.029,Ciardi et al. 2007,CLASSIC
HD 189733,,,,,,,0.377,0.024,Baines et al. 2007,CLASSIC
HD 10700,,,,,,,2.015,0.011,Di Folco et al. 2007,FLUOR
HD 22049,,,,,,,2.126,0.014,Di Folco et al. 2007,FLUOR
HD 16141,,,,,,,0.49,0.049,"Baines, et al., The Astrophysical Journal, 701, 154 (2009)",CLASSIC
HD 17092,,,,,,,0.601,0.041,"Baines, et al., The Astrophysical Journal, 701, 154 (2009)",CLASSIC
HD 45410,,,,,,,0.97,0.035,"Baines, et al., The Astrophysical Journal, 701, 154 (2009)",CLASSIC
HD 154345,,,,,,,0.502,0.026,"Baines, et al., The Astrophysical Journal, 701, 154 (2009)",CLASSIC
HD 185269,,,,,,,0.48,0.033,"Baines, et al., The Astrophysical Journal, 701, 154 (2009)",CLASSIC
HD 188310,,,,,,,1.726,0.008,"Baines, et al., The Astrophysical Journal, 701, 154 (2009)",CLASSIC
HD 199665,,,,,,,1.111,0.028,"Baines, et al., The Astrophysical Journal, 701, 154 (2009)",CLASSIC
HD 210702,,,,,,,0.875,0.018,"Baines, et al., The Astrophysical Journal, 701, 154 (2009)",CLASSIC
HD 217107,,,,,,,0.704,0.013,"Baines, et al., The Astrophysical Journal, 701, 154 (2009)",CLASSIC
HD 221345,,,,,,,1.336,0.009,"Baines, et al., The Astrophysical Journal, 701, 154 (2009)",CLASSIC
HD 222404,,,,,,,3.302,0.029,"Baines, et al., The Astrophysical Journal, 701, 154 (2009)",CLASSIC
HD 3651,,,,,,,0.79,0.027,"Baines et al. 2008, ApJ, 680, 728",CLASSIC
HD 9826,,,,,,,1.114,0.009,"Baines et al. 2008, ApJ, 680, 728",CLASSIC
HD 10697,,,,,,,0.485,0.046,"Baines et al. 2008, ApJ, 680, 728",CLASSIC
HD 11964,,,,,,,0.611,0.081,"Baines et al. 2008, ApJ, 680, 728",CLASSIC
HD 13189,,,,,,,0.836,0.028,"Baines et al. 2008, ApJ, 680, 728",CLASSIC
HD 19994,,,,,,,0.788,0.026,"Baines et al. 2008, ApJ, 680, 728",CLASSIC
HD 20367,,,,,,,0.408,0.109,"Baines et al. 2008, ApJ, 680, 728",CLASSIC
HD 23596,,,,,,,0.381,0.044,"Baines et al. 2008, ApJ, 680, 728",CLASSIC
